"","nume","pret_aug","nomenclator","pret_sept","nume_sept","scor_aug_sept","pret_oct","nume_oct","scor_aug_oct","pret_noi","nume_noi","scor_aug_noi"
"372","fanta portocale 0.5l","2.47 Lei/buc 4.94 litru","frutti fresh (sticla plastic  de 500 ml) ","230 Lei/bucata","bautura carbogazoasa cu aroma de portocale fanta 0.5l",100,"2.63 Lei/buc 5.26 litru","fanta portocale 0.5l",101,"2.63 2.43 Lei/buc 4.86 litru","fanta portocale 0.5l",101
"373","coca cola 2l","4.39 Lei/buc 2.20 litru","coca-cola (sticla din plastic  de 2000 ml) ","435 Lei/bucata","bautura racoritoare carbogazoasa coca cola 2l",100,"4.43 Lei/buc 2.22 litru","coca cola 2l",101,"4.43 Lei/buc 2.22 litru","coca cola 2l",101
"374","tedi suc de mere, morcovi si zmeura 200ml","1.20 Lei/buc 6.00 litru","bautura pentru copii tedy""""  (sticla de cca. 300 ml) ","160 Lei/bucata","suc de morcovi, mere si zmeura cu miere tedi go 0.3l",92,"1.20 Lei/buc 6.00 litru","tedi suc de mere, morcovi si zmeura 200ml",101,"1.20 Lei/buc 6.00 litru","tedi suc de mere, morcovi si zmeura 200ml",101
"375","fruttia delicio suc tutti frutti 1,5l","3.00 Lei/buc 2.00 litru","frutti fresh (sticla plastic  de 500 ml) ","320 Lei/bucata","suc tutti frutti fruttia 1,5 l",93,"3.00 Lei/buc 2.00 litru","fruttia delicio suc tutti frutti 1,5l",101,"305 Lei/bucata","suc tutti frutti fruttia 1,5 l",93
"376","nectar de piersici tymbark 1l","4.66 Lei/buc 4.66 litru","nectar de fructe (cutie carton  de 1000 ml) ","409 Lei/bucata","nectar de piersici tymbark 1l",101,"4.73 Lei/buc 4.73 litru","nectar de piersici tymbark 1l",101,"490 Lei/bucata","nectar de piersici tymbark 1l",101
"377","plafar sirop visine 0.5l","8.03 Lei/buc 16.06 litru","sirop natural de fructe  (sticla de 500 ml) ","8.64 Lei/buc 17.28 litru","plafar sirop visine 0.5l",101,"8.43 Lei/buc 16.86 litru","plafar sirop visine 0.5l",101,"8.43 Lei/buc 16.86 litru","plafar sirop visine 0.5l",101
"378","bergenbier bere blonda 2.2l","6.29 Lei/buc 2.86 litru","bere blonda (sticla plastic  2-2,5 l) ","6.29 Lei/buc 2.86 litru","bergenbier bere blonda 2.2l",101,"387 Lei/buc","bere blonda 1l bergenbier",94,"629 Lei/bucata","bere blonda bergenbier 2.2l",100
"379","ciucas bere blonda 0,5l","2.19 Lei/buc 4.38 litru","bere blonda, pasteurizata -  indigena (sticla de 500 ml,  exclusiv sticla)","2.20 Lei/buc 4.40 litru","ciucas bere blonda 0,5l",101,"314 Lei/buc","bere blonda 0.5l beck's",83,"218 Lei/bucata","bere blonda ciucas 0.5l",100
"380","bergenbier bere blonda 0.5l","2.40 Lei/buc 4.80 litru","bere la cutie de 500 ml  ","2.39 Lei/buc 4.78 litru","bergenbier bere blonda 0.5l",101,"183 Lei/buc","bere blonda 0.33l bergenbier",95,"235 Lei/bucata","bere blonda bergenbier 0.5l",100
"381","bere fara alcool ursus 0.5l","2.60 Lei/buc 5.20 litru","bere fara alcool (cutie de 500  ml) ","239 Lei/bucata","bere fara alcool ursus 0.5l",101,"274 Lei/buc","bere fara alcool 0.5l ursus",100,"274 Lei/buc","bere fara alcool 0.5l ursus",100
"382","vin alb feteasca regala jidvei doc-cmd 0.75l","12.28 Lei/buc 16.37 litru","vin jidvei (sauvignion blanc,  feteasca regala,pinot gris,  feteasca alba, muscat otonel)","1506 Lei/bucata","vin alb sec clasic jidvei feteasca regala 0.75l",90,"12.36 Lei/buc 16.48 litru","vin alb feteasca regala jidvei doc-cmd 0.75l",101,"1181 Lei/buc","vin alb feteasca regala 0.75l husi",92
"383","vin alb grasa de cotnari doc-cmd 0.75l","12.78 Lei/buc 17.04 litru","vin cotnari (grasa de cotnari,  feteasca alba, tamiioasa  romaneasca) - sticla 750 ml","11800 Lei/bucata","vin alb de purcari purcari 0.75l",80,"13.75 Lei/buc 18.33 litru","vin alb grasa de cotnari doc-cmd 0.75l",101,"1362 Lei/buc","vin alb demisec grasa de cotnari 0.75l cotnari",88
"384","vin alb de masa muscatel 2l","9.47 Lei/buc 4.74 litru","vin de masa (8-12 grade)  (sticla plastic de 2000 ml) ","1125 Lei/bucata","vin alb demisec muscatel 2l",89,"9.52 Lei/buc 4.76 litru","vin alb de masa muscatel 2l",101,"963 Lei/buc","vin alb de masa demidulce 2l muscatel",100
"385","vin alb selectionat beciul domnesc doc-cmd 1l","9.17 Lei/buc 9.17 litru","vin de regiune, superior  (sticla de 1000 ml) ","1529 Lei/bucata","vin roze beciul domnesc 0.75l",77,"9.12 Lei/buc 9.12 litru","vin alb selectionat beciul domnesc doc-cmd 1l",101,"1499 Lei/bucata","vin rose beciul domnesc 0.75l",77
"386","vin alb tamaioasa romaneasca cotnari doc-cmd 0.75l","13.36 Lei/buc 17.81 litru","vin cotnari (grasa de cotnari,  feteasca alba, tamiioasa  romaneasca) - sticla 750 ml","1160 Lei/bucata","vin alb dulce cotnari tamaioasa romaneasca 0.75l",93,"13.27 Lei/buc 17.69 litru","vin alb tamaioasa romaneasca cotnari doc-cmd 0.75l",101,"1189 Lei/bucata","vin alb dulce cotnari tamaioasa romaneasca 0.75l",93
"387","jidvei muscat ottonel vin demidulce 0.75l","12.12 Lei/buc 16.16 litru","vin jidvei (sauvignion blanc,  feteasca regala,pinot gris,  feteasca alba, muscat otonel)","1489 Lei/bucata","vin alb demidulce proles pontica muscat ottonel 1.5l",81,"12.12 Lei/buc 16.16 litru","jidvei muscat ottonel vin demidulce 0.75l",101,"2789 Lei/buc","vin alb muscat ottonel si feteasca regala tezaur 0.75l jidvei",86
"388","vin alb sauvignon blanc vinaria ostrov 1.5l","11.49 Lei/buc 7.66 litru","vin de calitate superioara  (jidvei, feteasca) - sticla  1500 ml","956 Lei/bucata","vin alb demisec vinaria ostrov sauvignon blanc 0.75l",94,"11.95 Lei/buc 7.97 litru","vin alb sauvignon blanc vinaria ostrov 1.5l",101,"956 Lei/bucata","vin alb demisec vinaria ostrov sauvignon blanc 0.75l",94
"389","vin alb feteasca alba jidvei 2013 doc-cmd 0.75l","12.25 Lei/buc 16.33 litru","vin jidvei (sauvignion blanc,  feteasca regala,pinot gris,  feteasca alba, muscat otonel)","1238 Lei/bucata","vin alb sec jidvei feteasca alba 0.75l",94,"12.40 Lei/buc 16.53 litru","vin alb feteasca alba jidvei 2013 doc-cmd 0.75l",101,"1238 Lei/bucata","vin alb sec jidvei feteasca alba 0.75l",94
"390","vin alb pinot gris jidvei doc-cmd 0.75l","16.10 Lei/buc 21.47 litru","vin jidvei (sauvignion blanc,  feteasca regala,pinot gris,  feteasca alba, muscat otonel)","1579 Lei/bucata","vin alb demisec jidvei pinot gris 0.75l",89,"16.59 Lei/buc 22.12 litru","vin alb pinot gris jidvei doc-cmd 0.75l",101,"2329 Lei/buc","vin alb pinot gris 0.75l 365",92
"391","vin rose demidulce ""te iubesc"" cramele recas 0.75l","12.94 Lei/buc 17.25 litru","vin recas (muscat otonel,  merlot, cabernet, feteasca  regala) - sticla 750 ml","1199 Lei/bucata","vin alb sec recas 0.75l",79,"12.46 Lei/buc 16.61 litru","vin rose demidulce &#34;te iubesc&#34; cramele recas 0.75l",100,"1285 Lei/bucata","vin alb demidulce recas 0.75l",93
"392","vin alb sec feteasca regala clasic jidvei 0.75l","15.23 Lei/buc 20.31 litru","vin jidvei (sauvignion blanc,  feteasca regala,pinot gris,  feteasca alba, muscat otonel)","1506 Lei/bucata","vin alb sec clasic jidvei feteasca regala 0.75l",100,"15.27 Lei/buc 20.36 litru","vin alb sec feteasca regala clasic jidvei 0.75l",101,"1505 Lei/bucata","vin alb sec clasic jidvei feteasca regala 0.75l",100
"393","vin alb sauvignon blanc jidvei premiat doc-cmd 0.75l","14.05 Lei/buc 18.73 litru","vin jidvei (sauvignion blanc,  feteasca regala,pinot gris,  feteasca alba, muscat otonel)","1397 Lei/bucata","vin alb demisec premiat jidvei sauvignon blanc 0.75l",92,"14.06 Lei/buc 18.75 litru","vin alb sauvignon blanc jidvei premiat doc-cmd 0.75l",101,"1400 Lei/bucata","vin alb demisec premiat jidvei sauvignon blanc 0.75l",92
"394","vin alb feteasca alba cotnari doc-cmd 0.75l","13.85 Lei/buc 18.47 litru","vin cotnari (grasa de cotnari,  feteasca alba, tamiioasa  romaneasca) - sticla 750 ml","1329 Lei/bucata","vin alb demidulce cotnari feteasca alba 0.75l",90,"13.38 Lei/buc 17.84 litru","vin alb feteasca alba cotnari doc-cmd 0.75l",101,"1189 Lei/bucata","vin alb demisec cotnari feteasca alba 0.75l",90
"395","vin rosu merlot zestrea murfatlar doc-ct 0.75l","13.43 Lei/buc 17.91 litru","vin murfatlar (pinot gris,  chardonnay, muscat ottonel)  sticla 750 ml","2620 Lei/bucata","vin rosu sec caloian merlot 0.75l",78,"13.43 Lei/buc 17.91 litru","vin rosu merlot zestrea murfatlar doc-ct 0.75l",101,"1272 Lei/bucata","vin rosu demisec zestrea murfatlar merlot 0.75l",92
"396","alexandrion cognac 5 stars 500ml","26.46 Lei/buc 52.92 litru","coniac alexandrion"" (sticla""  700 ml) ","26.42 Lei/buc 52.84 litru","alexandrion cognac 5 stars 500ml",101,"5551 Lei/buc","brandy 5 stele 1l alexandrion",66,"4775 Lei/bucata","alexandrion 5* 1l",90
"397","johnnie walker red whisky 0.7l","53.05 Lei/buc 75.79 litru","whisky johnnie walker""""  (sticla 700-750 ml) ","49.59 Lei/buc 70.84 litru","johnnie walker red whisky 0.7l",101,"5773 Lei/buc","whisky red label 0.7l johnnie walker",100,"4960 Lei/bucata","whisky johnnie walker red label 0.7l",100
"398","angelli lichior 1l","26.57 Lei/buc 26.57 litru","lichior superior de portocale,  mandarine, trandafiri, vani-  lie, caise, cirese (sticla","27.85 Lei/buc 27.85 litru","angelli lichior 1l",101,"2539 Lei/buc","crema de lichior cu aroma de tiramisu 0.5l angelli",91,"2547 Lei/bucata","lichior de afine angelli 1l",100
"399","rachiu de pere cu fruct prodvinalco 0.7l","117.96 Lei/buc 168.51 litru","rachiu (sticla de 500 ml)  ","72.95 Lei/buc 72.95 litru","prodvinalco alcool 1l",69,"8.78 Lei/buc 11.71 litru","cora sirop de fructe de padure 0.75l",60,"8.78 Lei/buc 11.71 litru","cora sirop de fructe de padure 0.75l",60
"400","ulei de floarea soarelui 1l surasul soarelui","429 Lei","ulei de floarea soarelui,  dublu rafinat ","419","ulei de floarea soarelui 1l surasul soarelui",101,"589 Lei/buc","ulei de floarea soarelui 1l raza soarelui",92,"589 Lei/buc","ulei de floarea soarelui 1l raza soarelui",92
"401","ulei de floarea soarelui 1l bunica","596 Lei","ulei de floarea soarelui,  dublu rafinat tip floriol""""  sau bunica""""","679","ulei de floarea soarelui 1l bunica",101,"596 Lei/buc","ulei de floarea soarelui 1l bunica",101,"596 Lei/buc","ulei de floarea soarelui 1l bunica",101
"402","ulei de floarea soarelui 1l floriol","589 Lei","ulei de floarea soarelui,  dublu rafinat tip floriol""""  sau bunica""""","669","ulei de floarea soarelui 1l floriol",101,"599 Lei/buc","ulei de floarea soarelui 1l floriol",101,"599 Lei/buc","ulei de floarea soarelui 1l floriol",101
"403","ulei de floarea soarelui 1l soreanca","380 Lei","ulei de floarea soarelui,  dublu rafinat ","559","ulei de floarea soarelui 1l soreanca",101,"589 Lei/buc","ulei de floarea soarelui 1l raza soarelui",92,"589 Lei/buc","ulei de floarea soarelui 1l raza soarelui",92
"404","ulei de masline extravirgin din regiunea sitia 500ml gaea","2499 Lei","ulei de masline (sticla de  500 ml) ","2559","ulei de masline extravirgin din regiunea sitia 500ml gaea",101,"2999 Lei/buc","ulei de masline extravirgin din regiunea sparta 500ml gaea",96,"2999 Lei/buc","ulei de masline extravirgin din regiunea sparta 500ml gaea",96
"405","ulei de floarea soarelui 1l unisol","594 Lei","ulei de floarea soarelui,  dublu rafinat tip floriol""""  sau bunica""""","659","ulei de floarea soarelui 1l unisol",101,"569 Lei/buc","ulei de floarea soarelui 1l unisol",101,"569 Lei/buc","ulei de floarea soarelui 1l unisol",101
"406","ulei de masline extravirgin kalamata 500ml minerva","2565 Lei","ulei de masline (sticla de  500 ml) ","2625","ulei de masline extravirgin kalamata 500ml minerva",101,"2694 Lei/buc","ulei de masline extravirgin kalamata 500ml minerva",101,"2694 Lei/buc","ulei de masline extravirgin kalamata 500ml minerva",101
"407","ulei de masline extravirgin 500ml costa d'oro","2227 Lei","ulei de masline (sticla de  500 ml) ","2115","ulei de masline extravirgin 500ml costa d'oro",101,"2209 Lei/buc","ulei de masline extravirgin 500ml costa d'oro",101,"2209 Lei/buc","ulei de masline extravirgin 500ml costa d'oro",101
"408","ulei de masline extravirgin 1l terra creta","2799 Lei","ulei de masline (sticla de  500 ml) ","4059","ulei de masline extravirgin 1l terra creta",101,"3999 Lei/buc","ulei de masline extravirgin 1l terra creta",101,"3999 Lei/buc","ulei de masline extravirgin 1l terra creta",101
"409","ulei de masline extra virgin 500ml pietro coricelli","2727 Lei","ulei de masline (sticla de  500 ml) ","2359","ulei de masline extra virgin 500ml pietro coricelli",101,"2762 Lei/buc","ulei de masline extra virgin 500ml pietro coricelli",101,"2762 Lei/buc","ulei de masline extra virgin 500ml pietro coricelli",101
"410","ulei de masline extra virgin 1l 365","2999 Lei","ulei de masline (sticla de  500 ml) ","3059","ulei de masline extra virgin 1l 365",101,"2999 Lei/buc","ulei de masline extra virgin 1l 365",101,"2999 Lei/buc","ulei de masline extra virgin 1l 365",101
"411","ulei de floarea soarelui mediteranean 1l floriol","920 Lei","ulei de floarea soarelui,  dublu rafinat ","1059","ulei de floarea soarelui mediteranean 1l floriol",101,"920 Lei/buc","ulei de floarea soarelui mediteranean 1l floriol",101,"920 Lei/buc","ulei de floarea soarelui mediteranean 1l floriol",101
"412","ulei de masline extravirgin 500ml monini","2084 Lei","ulei de masline (sticla de  500 ml) ","2204","ulei de masline extravirgin 500ml monini",101,"2612 Lei/buc","ulei de masline extravirgin 500ml monini",101,"2612 Lei/buc","ulei de masline extravirgin 500ml monini",101
"413","ulei de floroarea soarelui 1l ulvex","648 Lei","ulei de floarea soarelui,  dublu rafinat ","682","ulei de floroarea soarelui 1l ulvex",101,"609 Lei/buc","ulei de floroarea soarelui 1l ulvex",101,"609 Lei/buc","ulei de floroarea soarelui 1l ulvex",101
"414","ulei de floarea soarelui 1l spornic","586 Lei","ulei de floarea soarelui,  dublu rafinat ","638","ulei de floarea soarelui 1l spornic",101,"519 Lei/buc","ulei de floarea soarelui 1l spornic",101,"519 Lei/buc","ulei de floarea soarelui 1l spornic",101
"415","zahar cristal 1kg margaritar","361 Lei","zahar cristal tos - preambalat  ","408","zahar cristal 1kg margaritar",101,"335 Lei/buc","zahar cristal 1kg margaritar",101,"335 Lei/buc","zahar cristal 1kg margaritar",101
"416","zahar cristal 1kg sweet life","330 Lei","zahar cristal tos - preambalat  ","379","zahar cristal 1kg sweet life",101,"349 Lei/buc","zahar cristal 1kg sweet life",101,"349 Lei/buc","zahar cristal 1kg sweet life",101
"417","zahar 100% natural 1kg bod","352 Lei","zahar cristal tos - preambalat  ","405","zahar 100% natural 1kg bod",101,"379 Lei/buc","zahar 100% natural 1kg bod",101,"379 Lei/buc","zahar 100% natural 1kg bod",101
"418","zahar cubic alb 500g margaritar","297 Lei","zahar cristal tos - preambalat  ","348","zahar cubic alb 500g margaritar",101,"297 Lei/buc","zahar cubic alb 500g margaritar",101,"297 Lei/buc","zahar cubic alb 500g margaritar",101
"419","zahar brun de mauritius demerara 500g margaritar","569 Lei","zahar brun (500 g)  ","633","zahar brun de mauritius demerara 500g margaritar",101,"569 Lei/buc","zahar brun de mauritius demerara 500g margaritar",101,"569 Lei/buc","zahar brun de mauritius demerara 500g margaritar",101
"420","zahar pudra 500g 365","324 Lei","zahar pudra, preambalat  (500 g) ","384","zahar pudra 500g 365",101,"324 Lei/buc","zahar pudra 500g 365",101,"324 Lei/buc","zahar pudra 500g 365",101
"421","zahar pudra 500g margaritar","337 Lei","zahar pudra, preambalat  (500 g) ","394","zahar pudra 500g margaritar",101,"330 Lei/buc","zahar pudra 500g margaritar",101,"330 Lei/buc","zahar pudra 500g margaritar",101
"422","zahar brun din trestie de zahar 500g margaritar","428 Lei","zahar brun (500 g)  ","488","zahar brun din trestie de zahar 500g margaritar",101,"430 Lei/buc","zahar brun din trestie de zahar 500g margaritar",101,"430 Lei/buc","zahar brun din trestie de zahar 500g margaritar",101
"423","zahar vienez brun 500g agrana","695 Lei","zahar brun (500 g)  ","772","zahar vienez brun 500g agrana",101,"695 Lei/buc","zahar vienez brun 500g agrana",101,"695 Lei/buc","zahar vienez brun 500g agrana",101
"424","pasta de tomate 28% 314g olympia","549 Lei","pasta de tomate - indigena  (borcan de 314-420 ml) ","589","pasta de tomate 28% 314g olympia",101,"530 Lei/buc","pasta de tomate 28% 314g olympia",101,"530 Lei/buc","pasta de tomate 28% 314g olympia",101
"425","bulion cu concentratie intre 22 si 24% 410g delikat","671 Lei","bulion - indigen (borcan de  314-420 ml) ","731","bulion cu concentratie intre 22 si 24% 410g delikat",101,"410 Lei/bucata","bulion delikat 200ml",82,"368 Lei/bucata","bulion delikat 200ml",82
"426","pasta de tomate 24% 310g sultan","869 Lei","pasta de tomate - indigena  (borcan de 314-420 ml) ","929","pasta de tomate 24% 310g sultan",101,"869 Lei/buc","pasta de tomate 24% 310g sultan",101,"869 Lei/buc","pasta de tomate 24% 310g sultan",101
"427","bulion 18% 314ml olympia","362 Lei","bulion - indigen (borcan de  314-420 ml) ","416","bulion 18% 314ml olympia",101,"379 Lei/buc","bulion 18% 314ml olympia",101,"379 Lei/buc","bulion 18% 314ml olympia",101
"428","pasta de tomate concentrata 410g 365","499 Lei","pasta de tomate - indigena  (borcan de 314-420 ml) ","559","pasta de tomate concentrata 410g 365",101,"499 Lei/buc","pasta de tomate concentrata 410g 365",101,"499 Lei/buc","pasta de tomate concentrata 410g 365",101
"429","rosii intregi decojite 400g perfetto","249 Lei","tomate (rosii intregi) in  bulion - indigene (borcan de  cca. 720 ml)","289","rosii intregi decojite 400g perfetto",101,"165 Lei/bucata","rosii decojite intregi 400g",100,"177 Lei/bucata","rosii decojite intregi 400g",100
"430","rosii intregi decojite 400g maxim's","299 Lei","tomate (rosii intregi) in  bulion - indigene (borcan de  cca. 720 ml)","359","rosii intregi decojite 400g maxim's",101,"299 Lei/buc","rosii intregi decojite 400g maxim's",101,"299 Lei/buc","rosii intregi decojite 400g maxim's",101
"431","pasta de tomate concentratie 24% 314ml alex star","212 Lei","pasta de tomate - indigena  (borcan de 314-420 ml) ","459","pasta de tomate concentratie 24% 314ml alex star",101,"212 Lei/buc","pasta de tomate concentratie 24% 314ml alex star",101,"212 Lei/buc","pasta de tomate concentratie 24% 314ml alex star",101
"432","rosii intregi decojite 400g bucatareasa","179 Lei","tomate (rosii intregi) in  bulion - indigene (borcan de  cca. 720 ml)","239","rosii intregi decojite 400g bucatareasa",101,"179 Lei/buc","rosii intregi decojite 400g bucatareasa",101,"179 Lei/buc","rosii intregi decojite 400g bucatareasa",101
"433","rosii intregi decojite 400g bella rosa","349 Lei","tomate (rosii intregi) in  bulion - indigene (borcan de  cca. 720 ml)","320 Lei/bucata","rosii intregi decojite merve 400g",90,"165 Lei/bucata","rosii decojite intregi 400g",100,"177 Lei/bucata","rosii decojite intregi 400g",100
"434","pasta de tomate 24% 314g 365","369 Lei","pasta de tomate - indigena  (borcan de 314-420 ml) ","429","pasta de tomate 24% 314g 365",101,"369 Lei/buc","pasta de tomate 24% 314g 365",101,"369 Lei/buc","pasta de tomate 24% 314g 365",101
"435","paste fainoase taitei cuiburi 200g la grande famiglia","119 Lei","taitei cu ou (punga de  200-400 g) ","179","paste fainoase taitei cuiburi 200g la grande famiglia",101,"119 Lei/buc","paste fainoase taitei cuiburi 200g la grande famiglia",101,"119 Lei/buc","paste fainoase taitei cuiburi 200g la grande famiglia",101
"436","paste fainoase tagliatelle cu oua 500g barilla","963 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","1036","paste fainoase tagliatelle cu oua 500g barilla",101,"997 Lei/buc","paste fainoase tagliatelle cu oua 500g barilla",101,"997 Lei/buc","paste fainoase tagliatelle cu oua 500g barilla",101
"437","paste fainoase penne rigate nr 73 500g barilla","548 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","559","paste fainoase penne rigate nr 73 500g barilla",101,"574 Lei/buc","paste fainoase penne rigate nr 73 500g barilla",101,"574 Lei/buc","paste fainoase penne rigate nr 73 500g barilla",101
"438","paste fainoase spaghetti nr 5 500g barilla","461 Lei","spaghetti - import (pachet  de 500 g) ","419","paste fainoase spaghetti nr 5 500g barilla",101,"519 Lei/buc","paste fainoase spaghetti nr 5 500g barilla",101,"519 Lei/buc","paste fainoase spaghetti nr 5 500g barilla",101
"439","paste fainoase farfalle nr 65 500g barilla","569 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","478","paste fainoase farfalle nr 65 500g barilla",101,"561 Lei/buc","paste fainoase farfalle nr 65 500g barilla",101,"561 Lei/buc","paste fainoase farfalle nr 65 500g barilla",101
"440","paste fainoase fusilli 300g pasta buona","104 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","149","paste fainoase fusilli 300g pasta buona",101,"104 Lei/buc","paste fainoase fusilli 300g pasta buona",101,"104 Lei/buc","paste fainoase fusilli 300g pasta buona",101
"441","paste fainoase penne rigate 300g pasta buona","137 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","197","paste fainoase penne rigate 300g pasta buona",101,"137 Lei/buc","paste fainoase penne rigate 300g pasta buona",101,"137 Lei/buc","paste fainoase penne rigate 300g pasta buona",101
"442","paste fainoase penne rigate fara ou 400g baneasa","278 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","344","paste fainoase penne rigate fara ou 400g baneasa",101,"278 Lei/buc","paste fainoase penne rigate fara ou 400g baneasa",101,"278 Lei/buc","paste fainoase penne rigate fara ou 400g baneasa",101
"443","paste fainoase pennette integrale 500g barilla","644 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","706","paste fainoase pennette integrale 500g barilla",101,"682 Lei/buc","paste fainoase pennette integrale 500g barilla",101,"682 Lei/buc","paste fainoase pennette integrale 500g barilla",101
"444","spaghete 500g pambac","285 Lei","spaghetti - indigene (pachet  de 400-500 g) ","332","spaghete 500g pambac",101,"249 Lei/bucata","spaghete pambac 500g",100,"249 Lei/bucata","spaghete pambac 500g",100
"445","paste fainoase fusilli nr 98 500g barilla","569 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","1000 Lei/bucata","fusilli nr.98 barilla 1kg",91,"570 Lei/buc","paste fainoase fusilli nr 98 500g barilla",101,"570 Lei/buc","paste fainoase fusilli nr 98 500g barilla",101
"446","paste fainoase mezze penne tricolori 500g barilla","710 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","685","paste fainoase mezze penne tricolori 500g barilla",101,"710 Lei/buc","paste fainoase mezze penne tricolori 500g barilla",101,"710 Lei/buc","paste fainoase mezze penne tricolori 500g barilla",101
"447","mini fusilli picolini 500g barilla","606 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","643","mini fusilli picolini 500g barilla",101,"604 Lei/buc","mini fusilli picolini 500g barilla",101,"604 Lei/buc","mini fusilli picolini 500g barilla",101
"448","paste fainoase taitei lati cu ou 200g monte banato","256 Lei","taitei cu ou (punga de  200-400 g) ","316","paste fainoase taitei lati cu ou 200g monte banato",101,"265 Lei/buc","paste fainoase taitei lati cu ou 200g monte banato",101,"265 Lei/buc","paste fainoase taitei lati cu ou 200g monte banato",101
"449","paste fainoase taitei lungi cu ou 200g monte banato","256 Lei","taitei cu ou (punga de  200-400 g) ","319","paste fainoase taitei lungi cu ou 200g monte banato",101,"256 Lei/buc","paste fainoase taitei lungi cu ou 200g monte banato",101,"256 Lei/buc","paste fainoase taitei lungi cu ou 200g monte banato",101
"450","paste fainoase fusilli fara ou 400g baneasa","279 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","225 Lei/bucata","fusilli baneasa 400g",100,"278 Lei/buc","paste fainoase fusilli fara ou 400g baneasa",101,"278 Lei/buc","paste fainoase fusilli fara ou 400g baneasa",101
"451","paste fainoase spaghettini nr 3 500g barilla","529 Lei","spaghetti - import (pachet  de 500 g) ","515","paste fainoase spaghettini nr 3 500g barilla",101,"499 Lei/buc","paste fainoase spaghettini nr 3 500g barilla",101,"499 Lei/buc","paste fainoase spaghettini nr 3 500g barilla",101
"452","paste fainoase fusilli integrale 500g barilla","674 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","747","paste fainoase fusilli integrale 500g barilla",101,"715 Lei/buc","paste fainoase fusilli integrale 500g barilla",101,"715 Lei/buc","paste fainoase fusilli integrale 500g barilla",101
"453","fusilli din grau integral 500g delhaize","599 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","659","fusilli din grau integral 500g delhaize",101,"599 Lei/buc","fusilli din grau integral 500g delhaize",101,"599 Lei/buc","fusilli din grau integral 500g delhaize",101
"454","paste fainoase spaghetti integrale nr 5 500g barilla","520 Lei","spaghetti - import (pachet  de 500 g) ","579","paste fainoase spaghetti integrale nr 5 500g barilla",101,"573 Lei/buc","paste fainoase spaghetti integrale nr 5 500g barilla",101,"573 Lei/buc","paste fainoase spaghetti integrale nr 5 500g barilla",101
"455","macaroane 500g pambac","293 Lei","macaroane (pachet de 500 g)  ","350","macaroane 500g pambac",101,"249 Lei/bucata","macaroane pambac 500g",100,"249 Lei/bucata","macaroane pambac 500g",100
"456","paste fainoase capellini nr 1 500g barilla","520 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","533","paste fainoase capellini nr 1 500g barilla",101,"527 Lei/buc","paste fainoase capellini nr 1 500g barilla",101,"527 Lei/buc","paste fainoase capellini nr 1 500g barilla",101
"457","paste fainoase spaghetti cu ou 400g baneasa","311 Lei","spaghetti - indigene (pachet  de 400-500 g) ","371","paste fainoase spaghetti cu ou 400g baneasa",101,"317 Lei/buc","paste fainoase spaghetti cu ou 400g baneasa",101,"317 Lei/buc","paste fainoase spaghetti cu ou 400g baneasa",101
"458","paste fainoase cornetti rigati fara ou 400g baneasa","290 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","350","paste fainoase cornetti rigati fara ou 400g baneasa",101,"290 Lei/buc","paste fainoase cornetti rigati fara ou 400g baneasa",101,"290 Lei/buc","paste fainoase cornetti rigati fara ou 400g baneasa",101
"459","paste fainoase fettucine 500g barilla","833 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","893","paste fainoase fettucine 500g barilla",101,"799 Lei/buc","paste fainoase fettucine 500g barilla",101,"799 Lei/buc","paste fainoase fettucine 500g barilla",101
"460","penne din grau integral 500g delhaize","549 Lei","paste fainoase extra de dife-  rite forme: scoici, melci  etc. (punga de 200-500 g) -","609","penne din grau integral 500g delhaize",101,"549 Lei/buc","penne din grau integral 500g delhaize",101,"549 Lei/buc","penne din grau integral 500g delhaize",101
